R	400,300
x : 1.490909	 y : 0.000000	 z : -2.727273
x : 1.527273	 y : 0.000000	 z : -2.727273
x : 1.763636	 y : 0.000000	 z : -2.727273
x : 0.875000	 y : 0.000000	 z : -2.857143
x : 1.428571	 y : 0.000000	 z : -2.857143
x : 0.228070	 y : 0.000000	 z : -2.982456
x : 0.842105	 y : 0.000000	 z : -2.982456
x : 1.052632	 y : 0.000000	 z : -2.982456
x : 1.140351	 y : 0.000000	 z : -2.982456
x : 1.912281	 y : 0.000000	 z : -2.982456
x : 0.293103	 y : 0.000000	 z : -3.103448
x : 0.344828	 y : 0.000000	 z : -3.103448
x : 0.655172	 y : 0.000000	 z : -3.103448
x : 0.844828	 y : 0.000000	 z : -3.103448
x : 1.224138	 y : 0.000000	 z : -3.103448
x : 1.241379	 y : 0.000000	 z : -3.103448
x : 1.620690	 y : 0.000000	 z : -3.103448
x : 1.637931	 y : 0.000000	 z : -3.103448
x : 1.913793	 y : 0.000000	 z : -3.103448
x : 0.152542	 y : 0.000000	 z : -3.220339
x : 0.508475	 y : 0.000000	 z : -3.220339
x : 0.830508	 y : 0.000000	 z : -3.220339
x : 1.033898	 y : 0.000000	 z : -3.220339
x : 1.271186	 y : 0.000000	 z : -3.220339
x : 1.338983	 y : 0.000000	 z : -3.220339
x : 1.677966	 y : 0.000000	 z : -3.220339
x : 0.050000	 y : 0.000000	 z : -3.333333
x : 0.566667	 y : 0.000000	 z : -3.333333
x : 0.716667	 y : 0.000000	 z : -3.333333
x : 1.300000	 y : 0.000000	 z : -3.333333
x : 1.333333	 y : 0.000000	 z : -3.333333
x : 1.400000	 y : 0.000000	 z : -3.333333
x : 1.966667	 y : 0.000000	 z : -3.333333
x : 0.360656	 y : 0.000000	 z : -3.442623
x : 0.885246	 y : 0.000000	 z : -3.442623
x : 0.983607	 y : 0.000000	 z : -3.442623
x : 1.131148	 y : 0.000000	 z : -3.442623
x : 1.180328	 y : 0.000000	 z : -3.442623
x : 1.344262	 y : 0.000000	 z : -3.442623
x : 1.360656	 y : 0.000000	 z : -3.442623
x : 1.852459	 y : 0.000000	 z : -3.442623
x : 1.868852	 y : 0.000000	 z : -3.442623
x : 1.950820	 y : 0.000000	 z : -3.442623
x : 0.112903	 y : 0.000000	 z : -3.548387
x : 0.596774	 y : 0.000000	 z : -3.548387
x : 0.629032	 y : 0.000000	 z : -3.548387
x : 0.709677	 y : 0.000000	 z : -3.548387
x : 0.806452	 y : 0.000000	 z : -3.548387
x : 0.919355	 y : 0.000000	 z : -3.548387
x : 1.080645	 y : 0.000000	 z : -3.548387
x : 1.354839	 y : 0.000000	 z : -3.548387
x : 1.483871	 y : 0.000000	 z : -3.548387
x : 1.677419	 y : 0.000000	 z : -3.548387
x : 1.693548	 y : 0.000000	 z : -3.548387
x : 1.951613	 y : 0.000000	 z : -3.548387
x : 0.126984	 y : 0.000000	 z : -3.650794
x : 0.158730	 y : 0.000000	 z : -3.650794
x : 0.301587	 y : 0.000000	 z : -3.650794
x : 0.571429	 y : 0.000000	 z : -3.650794
x : 0.968254	 y : 0.000000	 z : -3.650794
x : 1.047619	 y : 0.000000	 z : -3.650794
x : 1.301587	 y : 0.000000	 z : -3.650794
x : 1.380952	 y : 0.000000	 z : -3.650794
x : 1.507937	 y : 0.000000	 z : -3.650794
x : 1.571429	 y : 0.000000	 z : -3.650794
x : 1.698413	 y : 0.000000	 z : -3.650794
x : 1.714286	 y : 0.000000	 z : -3.650794
x : 1.952381	 y : 0.000000	 z : -3.650794
x : 0.312500	 y : 0.000000	 z : -3.750000
x : 0.390625	 y : 0.000000	 z : -3.750000
x : 0.562500	 y : 0.000000	 z : -3.750000
x : 0.687500	 y : 0.000000	 z : -3.750000
x : 1.156250	 y : 0.000000	 z : -3.750000
x : 1.171875	 y : 0.000000	 z : -3.750000
x : 1.421875	 y : 0.000000	 z : -3.750000
x : 1.890625	 y : 0.000000	 z : -3.750000
x : 1.937500	 y : 0.000000	 z : -3.750000
x : 0.046154	 y : 0.000000	 z : -3.846154
x : 0.184615	 y : 0.000000	 z : -3.846154
